//ID,NAME,N.TYPES,TYPE1,TYPE2(IF NEEDED),BASE HP,BASE ATK,BASE DEF,BASE SPATK,BASE SPDEF,BASE SPD,MOVE 0,MOVE 1,MOVE 2,MOVE 3
//Blue (gen 1)
018,Pidgeot,2,0,2,83,80,75,70,70,101,0,1,40,41
065,Alakazam,1,13,-1,55,50,45,135,95,120,44,46,14,58
112,Rhydon,2,4,5,105,130,120,45,45,40,35,36,53,52
103,Exeggutor,2,11,13,95,95,85,125,75,55,20,21,44,2
059,Arcanine,1,9,-1,90,110,80,100,80,95,6,7,65,26
009,Blastoise,1,10,-1,79,83,100,85,105,78,9,12,35,65
//Lance (gen 2)
130,Gyarados,2,10,2,95,125,79,60,100,81,9,39,64,22
149,Dragonite,2,15,2,91,134,95,100,100,80,64,60,5,39
142,Aerodactyl,2,5,2,80,105,65,60,75,130,54,40,47,71
006,Charizard,2,9,2,78,84,78,109,85,100,7,42,62,56
034,Nidoking,2,3,4,81,102,77,85,75,85,31,36,34,48
094,Gengar,2,7,3,60,65,60,130,75,110,58,45,69,32
//Steven (gen 3)
227,Skarmory,2,8,2,65,80,140,40,70,70,70,40,65,73
344,Claydol,2,4,13,60,70,105,70,120,75,43,35,27,59
306,Aggron,2,8,5,70,110,180,60,60,50,0,53,71,73
346,Cradily,2,5,11,86,81,97,81,107,43,18,55,31,21
348,Armaldo,2,5,6,75,125,100,70,80,45,54,49,66,28
376,Metagross,2,8,13,80,135,130,95,90,70,29,27,43,71
//Cynthia
442,Spiritomb,2,7,16,50,92,108,92,108,35,59,57,67,8
445,Garchomp,2,15,4,108,130,95,80,85,102,60,64,35,6
423,Gastrodon,2,10,4,111,83,68,92,82,39,11,38,2,72
350,Milotic,1,10,-1,95,60,79,100,125,81,11,34,24,12
407,Roserade,2,11,3,60,70,65,125,105,90,19,32,50,4
448,Lucario,2,1,8,70,110,70,115,70,90,28,3,70,6
//Update 1
150,MewTwo,1,13,-1,106,110,90,154,90,130,74,47,44,75
145,Zapdos,2,12,2,90,90,85,125,90,100,40,41,15,16
144,Articuno,2,14,2,90,85,100,95,125,85,24,25,39,41
003,Venusaur,2,11,3,80,82,83,100,100,80,19,18,30,34
026,Raichu,1,12,-1,60,90,55,90,80,110,14,15,16,47
383,Groudon,1,4,-1,100,150,140,100,90,90,35,36,8,27
